trade_date,score,bollinger_up_distance_ratio,bollinger_down_distance_ratio,yesterday_noise,yesterday_range_ratio,target_ratio,today_open_price,current_price,current_high_price_ratio,current_low_price_ratio,result
2021-08-22,59,4.93,20.8,0.45,5.37,2.69,27.86,28.66,2.87,-0.06,SHORT
2021-08-23,59,5.17,20.39,0.92,6.81,3.28,28.01,28.96,3.42,-0.54,SHORT
2021-08-24,-11,4.09,21.47,0.62,5.6,-2.67,28.59,27.67,1.21,-3.23,SHORT
2021-08-26,-59,11.6,13.99,0.46,6.34,-2.97,26.63,25.81,1.22,-3.1,SHORT
2021-08-28,-17,21.64,5.74,0.28,11.58,5.94,24.4,25.97,6.45,-1.49,LONG
2021-08-29,17,14.14,8.1,0.64,3.26,1.62,25.77,26.21,1.73,-0.49,SHORT
2021-08-30,-59,13.62,7.12,0.98,5.67,-2.75,25.79,25.05,0.6,-2.87,LONG
2021-08-31,29,16.73,4.03,0.67,8.61,4.24,25.06,26.17,4.43,-1.27,LONG
2021-09-01,59,9.53,9.76,0.42,11.45,5.1,26.72,28.16,5.39,-2.19,LONG
2021-09-03,59,0.47,20.1,0.89,7.12,3.41,29.98,31.11,3.75,-2.82,SHORT
2021-09-05,59,3.68,21.07,0.5,5.72,2.86,29.92,30.8,2.95,-1.1,LONG
2021-09-06,59,4.06,31.75,0.1,13.77,5.77,33.62,35.7,6.19,-2.29,SHORT
2021-09-07,17,3.41,35.62,0.69,11.63,-5.31,34.84,32.72,1.45,-6.09,SHORT
2021-09-10,-15,23.82,16.39,0.73,14.22,6.89,27.18,29.2,7.45,-2.45,SHORT
2021-09-10,-59,19.94,19.02,0.77,13.63,-6.2,28.02,26.11,5.54,-6.82,LONG
2021-09-12,11,24.22,16.74,0.57,5.49,2.61,27.02,27.76,2.75,-2.34,LONG
2021-09-13,-31,14.23,23.57,0.29,12.72,-5.51,29.45,27.65,1.68,-6.1,SHORT
2021-09-15,59,24.66,16.01,0.49,16.61,8.31,26.96,29.41,9.07,-0.76,LONG
2021-09-16,59,10.73,24.0,0.93,6.1,2.97,30.69,31.68,3.2,-1.21,SHORT
2021-09-17,-59,14.17,20.75,0.72,10.05,-4.92,29.82,28.05,1.01,-5.95,SHORT
2021-09-18,-1,22.39,13.87,0.25,9.26,4.74,27.76,29.16,5.05,-1.19,SHORT
2021-09-20,-59,19.3,14.63,0.68,7.42,-3.5,28.41,27.36,1.37,-3.68,LONG
2021-09-20,-59,23.07,9.9,0.46,6.69,-3.35,27.39,26.43,0.16,-3.51,SHORT
2021-09-22,-59,44.67,1.71,0.15,16.34,-8.67,23.57,21.32,3.31,-9.54,LONG
2021-09-22,-31,61.91,5.18,0.4,15.18,7.7,21.43,23.26,8.55,-1.89,LONG
2021-09-24,-31,35.4,14.46,0.53,8.49,-3.92,25.41,24.36,0.27,-4.13,SHORT
2021-09-26,-59,36.55,13.72,0.54,11.44,-5.15,24.49,23.12,0.47,-5.57,LONG
2021-09-29,-31,44.63,6.82,0.47,7.65,3.83,22.08,22.97,4.05,-0.25,SHORT
2021-09-30,43,39.21,11.66,0.6,8.7,4.03,22.84,23.88,4.54,-0.59,LONG
2021-10-01,51,32.34,16.64,0.32,7.35,3.38,23.99,24.83,3.53,-1.58,LONG
2021-10-04,59,16.57,25.31,0.72,7.56,3.57,26.88,27.88,3.71,-1.33,SHORT
2021-10-04,17,13.84,27.23,0.58,6.26,-2.96,27.59,26.74,0.3,-3.07,SHORT
2021-10-06,-11,10.03,24.02,0.53,5.05,-2.41,27.27,26.59,0.25,-2.47,LONG
2021-10-09,59,9.52,19.77,0.69,5.4,2.67,26.42,27.14,2.75,-1.25,LONG
2021-10-11,-41,5.36,22.88,0.45,7.25,-3.37,27.47,26.51,-0.15,-3.51,SHORT
2021-10-11,15,13.45,16.44,0.07,7.55,3.9,25.55,26.59,4.09,-0.84,SHORT
2021-10-12,-59,13.95,12.93,0.85,8.48,-4.12,25.23,24.08,0.0,-4.56,LONG
2021-10-14,-13,16.62,10.8,0.67,6.91,3.41,24.65,25.53,3.55,-1.8,LONG
2021-10-14,59,11.94,14.39,0.32,6.22,2.9,25.7,26.46,2.99,-1.09,LONG
2021-10-16,59,7.21,17.23,0.79,5.22,2.52,27.04,27.77,2.7,-0.21,SHORT
2021-10-18,-9,6.98,17.47,0.88,6.61,-3.18,27.25,26.35,1.41,-3.28,LONG
2021-10-18,-59,9.39,13.71,0.68,7.75,-3.82,26.57,25.49,0.72,-4.05,LONG
2021-10-20,27,8.88,5.82,0.78,3.67,1.79,25.93,26.41,1.85,-0.19,LONG
2021-10-21,59,2.26,9.55,0.13,6.99,3.19,27.51,28.46,3.47,-0.64,SHORT
2021-10-22,59,0.37,12.41,0.63,7.9,3.69,28.31,29.41,3.87,0.24,SHORT
2021-10-23,59,0.15,14.04,0.81,7.16,3.41,28.69,29.71,3.54,-1.17,LONG
2021-10-24,31,5.08,23.61,0.15,11.06,-4.81,31.39,29.79,0.44,-5.11,SHORT
2021-10-25,59,1.66,19.65,0.4,8.94,4.51,29.71,31.16,4.86,-0.52,LONG
2021-10-27,59,1.12,29.41,0.94,7.81,3.74,32.56,33.84,3.95,-0.98,SHORT
2021-10-29,59,7.92,23.31,0.42,7.83,3.61,30.2,31.34,3.76,-0.59,SHORT
2021-10-30,-41,6.35,25.34,0.61,6.71,-3.17,31.0,29.92,0.34,-3.47,SHORT
2021-10-31,-55,10.98,21.37,0.41,6.4,-3.22,29.82,28.79,2.72,-3.45,LONG
2021-11-01,59,10.47,20.58,0.9,6.95,3.34,30.02,31.07,3.5,-2.66,LONG
2021-11-03,31,4.28,23.53,0.61,4.73,-2.27,32.3,31.53,1.63,-2.38,LONG
2021-11-04,-39,6.16,22.0,0.86,7.0,-3.42,31.98,30.84,0.48,-3.57,LONG
2021-11-05,59,9.83,18.57,0.49,6.04,3.02,31.0,32.0,3.2,-0.91,LONG
2021-11-06,-29,4.61,22.61,0.39,9.93,-4.47,32.89,31.29,1.02,-4.87,LONG
2021-11-08,59,6.15,17.47,0.65,2.88,1.41,32.37,32.86,1.51,-0.36,LONG
2021-11-10,59,2.42,17.63,0.71,6.7,3.3,33.86,35.02,3.43,-0.84,SHORT
