trade_date,score,bollinger_up_distance_ratio,bollinger_down_distance_ratio,yesterday_noise,yesterday_range_ratio,target_ratio,today_open_price,current_price,current_high_price_ratio,current_low_price_ratio,result
2021-09-17,-59,23.94,10.69,0.52,5.76,-2.88,1.09,1.06,1.04,-3.25,LONG
2021-09-18,43,26.75,9.53,0.54,4.73,2.36,1.07,1.09,2.59,-0.89,SHORT
2021-09-20,-59,25.74,10.89,0.78,3.58,-1.74,1.08,1.06,0.78,-1.89,SHORT
2021-09-20,-59,29.23,9.21,0.42,4.42,-2.22,1.05,1.0,0.1,-4.25,SHORT
2021-09-22,-31,56.91,0.26,0.53,10.97,5.47,0.87,0.93,6.33,-0.62,LONG
2021-09-24,-17,32.84,14.22,0.97,4.96,-2.42,1.0,0.98,0.07,-2.58,SHORT
2021-09-26,-59,35.53,9.79,0.9,4.38,-2.15,0.94,0.92,0.27,-2.31,LONG
2021-09-27,35,26.18,6.09,0.94,7.0,3.37,0.94,0.98,3.61,-0.77,SHORT
2021-09-29,-17,32.12,4.14,0.47,5.79,2.9,0.89,0.92,2.99,-0.66,LONG
2021-10-01,53,22.49,11.8,0.35,4.57,2.17,0.95,0.98,3.09,-0.95,LONG
2021-10-03,59,11.0,18.34,0.91,6.28,3.06,1.04,1.07,3.18,-1.38,SHORT
2021-10-04,3,8.81,19.83,0.71,6.61,-3.14,1.06,1.02,0.29,-3.3,LONG
2021-10-05,59,9.31,18.6,0.78,5.2,2.56,1.04,1.08,3.16,-0.45,LONG
2021-10-06,17,4.43,21.33,0.19,4.92,-2.31,1.08,1.06,0.01,-2.42,LONG
2021-10-09,59,6.06,19.63,0.89,3.8,1.87,1.06,1.09,2.36,-0.56,LONG
2021-10-12,-29,3.83,24.09,0.99,7.25,-3.49,1.14,1.09,-0.1,-3.69,LONG
2021-10-15,-29,6.73,22.98,0.86,3.75,-1.83,1.13,1.11,-0.04,-1.87,LONG
2021-10-16,59,6.75,22.47,0.9,6.94,3.33,1.14,1.18,3.52,-0.78,SHORT
2021-10-18,-49,7.84,20.78,0.89,5.1,-2.5,1.14,1.1,0.42,-2.73,SHORT
2021-10-20,23,8.74,9.38,0.76,3.37,1.64,1.09,1.11,1.92,-0.31,LONG
2021-10-21,-57,2.69,11.07,0.18,6.08,-2.81,1.15,1.1,1.7,-3.72,SHORT
