score,bollinger_up_distance_ratio,bollinger_down_distance_ratio,yesterday_noise,yesterday_range_ratio,target_ratio,today_open_price,current_price,current_high_price_ratio,current_low_price_ratio,result
59,10.77,31.16,0.94,5.11,2.5,626.27,642.61,2.61,-0.97,LONG
-9,8.78,30.62,0.93,4.01,-1.96,650.28,636.58,1.36,-2.11,SHORT
-49,11.77,26.43,0.42,4.5,-2.26,633.45,618.07,-0.14,-2.43,SHORT
-59,18.23,16.43,0.33,10.5,-5.35,588.73,555.33,0.67,-5.67,LONG
-59,19.1,12.2,0.73,6.6,-3.25,578.4,558.91,1.74,-3.37,SHORT
-17,29.41,4.52,0.36,12.47,6.34,532.2,568.77,6.87,-1.33,LONG
-11,12.74,12.61,0.25,5.45,-2.55,604.62,588.36,0.07,-2.69,SHORT
-59,16.35,8.67,0.19,4.16,-2.11,584.25,571.62,-0.12,-2.16,SHORT
-5,21.35,4.5,0.22,5.36,2.72,559.78,576.02,2.9,-0.25,LONG
47,14.61,8.13,0.94,2.98,1.47,590.56,599.61,1.53,-0.43,LONG
29,6.32,15.08,0.19,10.13,-4.47,639.35,608.77,2.94,-4.78,SHORT
-59,11.91,9.85,0.66,6.34,-3.01,600.18,580.19,0.59,-3.33,LONG
3,6.41,12.99,0.53,4.49,-2.15,624.25,609.85,1.66,-2.31,LONG
59,6.82,12.76,0.95,5.07,2.48,622.65,639.2,2.66,-0.3,SHORT
-29,5.99,13.43,0.85,5.06,-2.45,627.45,610.81,0.16,-2.65,LONG
-41,7.09,12.42,0.72,4.06,-2.01,620.37,607.57,1.22,-2.06,SHORT
-59,10.55,8.54,0.56,9.27,-4.61,595.18,564.83,0.13,-5.1,LONG
-59,16.0,3.22,0.74,7.13,-3.51,557.64,537.34,-0.34,-3.64,LONG
-59,11.84,6.71,0.6,3.6,-1.79,578.34,567.74,0.11,-1.83,LONG
-25,5.83,9.17,0.3,7.06,-3.25,607.05,586.36,1.44,-3.41,SHORT
-59,13.08,4.8,0.66,2.82,-1.38,569.59,561.6,0.27,-1.4,SHORT
-59,23.69,1.46,0.72,4.82,-2.32,527.83,515.08,1.44,-2.42,LONG
-59,23.09,3.13,0.26,3.82,-1.93,526.01,514.94,1.74,-2.1,LONG
-59,20.04,6.28,0.77,3.26,-1.62,529.72,520.97,0.93,-1.65,LONG
41,17.71,5.38,0.76,3.6,1.77,523.96,533.52,1.82,0.68,SHORT
43,15.51,4.93,0.76,3.6,1.77,523.96,533.51,2.09,0.97,SHORT
59,14.27,4.96,0.76,3.6,1.77,523.96,548.23,4.79,4.63,SHORT
53,13.86,5.31,0.76,3.6,1.77,523.96,541.41,3.33,2.97,SHORT
59,13.64,5.65,0.76,3.6,1.77,523.96,546.96,4.39,4.29,SHORT
59,12.4,5.52,0.76,3.6,1.77,523.96,546.26,4.46,4.26,SHORT
59,11.37,5.44,0.76,3.6,1.77,523.96,561.28,7.47,7.12,SHORT
59,8.06,3.63,0.76,3.6,1.77,523.96,535.37,2.18,1.77,SHORT
-59,6.85,3.2,0.76,3.6,-1.77,523.96,511.73,-1.72,-2.33,LONG
