score,bollinger_up_distance_ratio,bollinger_down_distance_ratio,yesterday_noise,yesterday_range_ratio,target_ratio,today_open_price,current_price,current_high_price_ratio,current_low_price_ratio,result
59,2.77,17.32,0.31,3.04,1.47,4616.51,4686.11,1.51,0.06,LONG
59,2.72,18.74,0.39,2.7,1.36,4734.99,4801.54,1.41,-1.13,SHORT
-41,3.92,16.6,0.56,4.37,-2.1,4721.19,4619.35,1.87,-2.16,LONG
-49,6.18,13.5,0.82,2.63,-1.31,4644.42,4581.35,1.08,-1.36,LONG
59,6.72,12.55,0.92,3.97,1.95,4629.75,4723.86,2.03,0.31,SHORT
-59,7.94,10.15,0.73,4.98,-2.46,4567.01,4430.87,-0.38,-2.98,SHORT
-59,13.59,2.27,0.67,5.65,-2.7,4288.0,4164.13,1.23,-2.89,SHORT
-17,23.15,2.46,0.25,8.99,4.6,3997.72,4193.64,4.9,-0.46,LONG
-59,15.63,3.81,0.17,4.16,-2.11,4259.28,4164.43,-0.04,-2.23,SHORT
-5,20.85,1.31,0.44,7.24,3.64,4086.41,4244.78,3.88,-0.53,LONG
-59,13.46,7.43,0.22,8.01,-3.63,4341.36,4174.99,0.78,-3.83,LONG
47,15.19,6.39,0.66,4.76,2.36,4271.29,4379.66,2.54,-0.49,LONG
7,8.74,11.67,0.17,7.21,-3.29,4528.2,4372.03,0.48,-3.45,SHORT
-59,20.24,4.79,0.65,3.84,-1.86,4095.33,4015.79,0.0,-1.94,LONG
29,8.47,11.79,0.18,4.19,-1.98,4445.09,4353.0,1.26,-2.07,LONG
3,4.57,14.26,0.82,5.5,-2.7,4586.67,4455.1,0.73,-2.87,LONG
59,5.69,12.67,0.64,4.38,2.18,4514.32,4615.0,2.23,-0.91,SHORT
-59,12.28,6.51,0.54,14.49,-7.2,4213.67,3866.09,0.55,-8.25,LONG
-59,10.93,6.46,0.62,5.2,-2.49,4197.52,4089.92,-0.09,-2.56,LONG
59,8.28,8.6,0.77,3.91,1.93,4305.83,4395.73,2.09,-1.76,LONG
-31,5.05,10.24,0.44,5.33,-2.52,4435.7,4318.69,0.99,-2.64,SHORT
-31,20.13,0.13,0.4,8.51,4.29,3895.85,4072.02,4.52,-1.55,LONG
-59,13.33,6.06,0.79,4.61,-2.23,4129.16,4032.94,0.23,-2.33,SHORT
-59,22.37,3.0,0.61,5.21,-2.49,3856.67,3752.93,1.02,-2.69,LONG
-59,18.35,6.11,0.64,4.16,-2.07,3958.7,3870.59,0.85,-2.23,LONG
-59,18.63,7.2,0.77,3.87,-1.91,3922.51,3844.23,1.35,-2.0,LONG
55,15.92,7.36,0.91,5.9,2.85,3943.64,4060.02,2.95,-0.71,SHORT
51,13.75,6.65,0.53,3.82,1.88,3943.64,4019.22,1.96,1.7,SHORT
53,11.75,5.91,0.53,3.82,1.88,3943.64,4020.0,1.94,-1.29,SHORT
59,11.31,5.98,0.53,3.82,1.88,3943.64,4110.65,4.4,4.22,SHORT
59,11.15,6.08,0.53,3.82,1.88,3943.64,4038.57,2.41,1.99,SHORT
59,10.72,6.11,0.53,3.82,1.88,3943.64,4087.56,3.65,3.55,SHORT
59,9.44,5.67,0.53,3.82,1.88,3943.64,4065.34,3.14,3.08,SHORT
59,8.24,5.22,0.53,3.82,1.88,3943.64,4019.71,2.14,1.9,SHORT
-59,5.32,3.36,0.53,3.82,-1.88,3943.64,3799.88,-3.65,-4.07,LONG
-59,4.98,3.25,0.53,3.82,-1.88,3943.64,3618.17,-7.81,-8.25,LONG
