score,bollinger_up_distance_ratio,bollinger_down_distance_ratio,yesterday_noise,yesterday_range_ratio,target_ratio,today_open_price,current_price,current_high_price_ratio,current_low_price_ratio,result
-31,31.27,3.09,0.36,6.8,3.43,2.04,2.11,3.69,-0.57,SHORT
-3,28.56,5.82,0.76,6.11,2.92,2.06,2.13,3.01,-0.68,SHORT
17,25.18,9.02,0.41,4.17,1.99,2.12,2.16,2.06,-0.96,LONG
-3,11.82,12.76,0.95,4.05,-1.98,2.25,2.21,0.02,-2.05,SHORT
59,14.05,10.39,0.42,4.64,2.33,2.19,2.25,2.49,-0.43,SHORT
-31,9.79,11.25,0.49,3.83,-1.84,2.24,2.19,0.01,-1.89,LONG
59,9.6,9.89,0.84,6.38,3.12,2.21,2.29,3.45,-2.61,SHORT
59,6.84,10.42,0.59,4.53,2.26,2.24,2.29,2.34,-0.75,SHORT
-41,5.24,11.68,0.61,3.69,-1.78,2.27,2.23,-0.11,-1.85,SHORT
-59,9.1,7.73,0.34,5.5,-2.78,2.19,2.11,2.85,-3.66,LONG
-59,9.04,5.18,0.89,7.7,-3.73,2.17,2.08,0.06,-4.04,LONG
-17,11.54,3.39,0.5,4.72,2.36,2.12,2.17,2.53,-1.72,LONG
57,7.47,5.72,0.76,3.2,1.59,2.17,2.21,1.84,-1.52,LONG
-59,6.58,5.84,0.53,3.75,-1.87,2.18,2.13,0.44,-2.16,LONG
-17,9.04,0.95,0.72,3.07,1.52,2.11,2.15,1.58,-0.83,LONG
59,4.89,4.07,0.31,5.51,2.58,2.19,2.26,3.06,-0.38,SHORT
-59,5.07,3.44,0.76,2.02,-1.0,2.17,2.15,0.04,-1.04,SHORT
51,7.46,1.66,0.41,3.71,1.86,2.12,2.16,1.93,-0.17,SHORT
59,5.93,2.91,0.62,3.05,1.49,2.15,2.18,1.54,-0.12,SHORT
-59,6.07,2.81,0.93,3.98,-1.96,2.14,2.07,0.86,-3.24,SHORT
-45,13.16,1.89,0.57,3.46,-1.67,2.02,1.98,0.01,-1.72,SHORT
11,16.86,0.29,0.37,4.74,2.38,1.96,2.01,2.59,-0.62,SHORT
35,15.93,3.97,0.63,3.2,1.55,1.97,2.01,1.9,-1.03,LONG
-59,10.29,8.35,0.53,9.9,-4.52,2.07,1.96,1.76,-5.0,LONG
45,13.31,5.2,0.99,2.96,1.46,1.98,2.01,1.53,-0.43,SHORT
59,10.07,7.35,0.72,3.02,1.47,2.02,2.05,1.55,-0.6,LONG
59,4.73,11.95,0.21,6.54,3.02,2.13,2.19,3.15,-0.91,LONG
17,1.02,18.05,0.47,12.74,-5.63,2.27,2.13,2.59,-6.27,SHORT
-57,7.41,10.35,0.82,4.57,-2.25,2.08,2.03,0.96,-2.31,LONG
-59,7.8,8.96,0.93,2.83,-1.39,2.05,2.02,0.96,-1.46,LONG
29,7.7,8.4,0.83,2.98,1.47,2.04,2.07,1.53,0.12,SHORT
-59,8.14,7.37,0.75,4.12,-2.04,2.02,1.96,-0.29,-2.87,SHORT
-59,17.07,1.7,0.98,5.24,-2.55,1.88,1.83,1.58,-2.62,SHORT
-3,23.86,0.94,0.57,10.98,5.45,1.79,1.89,5.81,-1.76,SHORT
23,19.06,3.91,0.45,7.76,3.59,1.86,1.93,3.74,-0.11,SHORT
-17,15.43,7.11,0.38,5.1,-2.41,1.92,1.87,-0.08,-2.55,SHORT
-59,21.14,3.7,0.05,4.71,-2.41,1.84,1.79,-0.05,-2.68,SHORT
-59,27.7,2.68,0.68,4.55,-2.26,1.75,1.71,0.08,-2.31,SHORT
-59,34.94,3.61,0.91,7.73,-3.7,1.68,1.61,0.55,-3.99,SHORT
-59,48.48,3.4,0.79,3.5,-1.71,1.54,1.52,-0.05,-1.81,LONG
-59,37.66,8.98,0.89,4.87,-2.36,1.6,1.56,1.58,-2.47,SHORT
23,39.98,7.8,0.44,5.29,2.65,1.55,1.6,2.92,-0.75,SHORT
29,38.48,8.66,0.92,5.91,2.88,1.55,1.59,3.04,-1.8,LONG
-41,22.27,17.54,0.28,15.64,-6.57,1.72,1.6,0.37,-7.12,SHORT
-59,32.56,9.3,0.28,13.3,-6.85,1.56,1.43,0.1,-7.87,SHORT
-59,44.57,1.64,0.73,10.76,-5.25,1.38,1.3,-0.21,-5.65,LONG
-59,38.95,8.79,0.79,6.22,-2.98,1.4,1.35,0.84,-3.12,SHORT
-31,55.37,0.34,0.39,9.89,5.0,1.21,1.27,5.32,-1.49,LONG
-59,33.59,11.13,0.92,7.05,-3.42,1.35,1.3,0.74,-3.58,SHORT
-59,38.14,8.93,0.51,7.01,-3.28,1.27,1.22,0.59,-3.56,LONG
-59,37.94,9.21,0.25,7.28,-3.71,1.24,1.19,1.43,-4.25,LONG
-3,39.64,9.44,0.71,6.17,3.05,1.22,1.26,3.29,-1.4,SHORT
41,34.9,12.17,0.64,5.59,2.66,1.24,1.28,3.07,-0.08,SHORT
-59,32.24,12.69,0.98,5.72,-2.78,1.24,1.21,0.95,-2.93,LONG
39,30.89,12.77,0.89,4.84,2.37,1.24,1.27,2.44,-0.78,LONG
51,28.58,12.62,0.32,5.04,2.46,1.24,1.28,3.73,3.64,SHORT
59,20.73,8.34,0.32,5.04,2.46,1.24,1.33,7.69,7.22,SHORT
59,16.34,6.19,0.32,5.04,2.46,1.24,1.47,18.94,18.54,SHORT
59,14.85,5.82,0.32,5.04,2.46,1.24,1.39,12.41,11.81,SHORT
59,13.94,5.71,0.32,5.04,2.46,1.24,1.45,17.07,16.9,SHORT
59,12.04,4.93,0.32,5.04,2.46,1.24,1.46,18.18,17.89,SHORT
59,10.79,4.48,0.32,5.04,2.46,1.24,1.51,22.14,21.77,SHORT
59,8.83,3.46,0.32,5.04,2.46,1.24,1.4,13.36,12.66,SHORT
59,8.78,3.47,0.32,5.04,2.46,1.24,1.32,7.66,6.51,SHORT
