trade_date,score,bollinger_up_distance_ratio,bollinger_down_distance_ratio,yesterday_noise,yesterday_range_ratio,target_ratio,today_open_price,current_price,current_high_price_ratio,current_low_price_ratio,current_btc_rate,result
2021-08-12,59,5.04,27.12,0.95,3.07,1.54,45522.13,46222.99,1.54,-0.08,1.54,SHORT
2021-08-13,59,7.67,22.77,0.53,5.33,2.81,44385.09,45632.54,2.81,-0.27,2.81,LONG
2021-08-15,-17,3.22,23.55,0.69,4.81,-2.75,47083.75,45791.08,0.56,-2.75,-2.75,LONG
2021-08-16,59,4.13,22.07,0.96,4.05,2.04,47006.02,47965.55,2.04,-0.42,2.04,SHORT
2021-08-17,59,7.16,19.41,0.55,5.09,2.67,45926.23,47153.99,2.67,-1.23,2.67,SHORT
2021-08-20,15,10.37,15.43,0.99,4.08,2.24,44714.09,45714.42,2.24,-1.58,2.24,LONG
2021-08-20,59,6.29,18.94,0.35,7.07,3.67,46772.0,48490.15,3.67,-0.23,3.67,LONG
2021-08-23,59,3.85,20.54,0.71,3.03,1.56,49273.28,50042.48,1.56,-0.3,1.56,SHORT
2021-08-24,-11,3.13,18.46,0.84,3.09,-1.74,49523.23,48660.2,0.67,-1.74,-1.74,SHORT
2021-08-26,59,6.3,12.98,0.21,4.62,2.58,47719.37,48952.74,2.58,-1.18,2.58,LONG
2021-08-26,-29,3.25,13.29,0.41,4.54,-2.25,48992.65,47890.73,0.74,-2.25,-2.25,SHORT
2021-08-28,33,7.55,8.06,0.31,6.33,3.36,46854.22,48428.86,3.36,-1.01,3.36,LONG
2021-08-29,59,3.51,10.52,0.84,1.91,1.16,48931.99,49500.0,1.16,-0.33,1.16,SHORT
2021-08-30,-55,4.13,10.09,0.93,4.14,-2.25,48795.42,47695.63,0.23,-2.25,-2.25,SHORT
2021-08-31,-19,8.01,6.35,0.13,4.18,2.21,47024.69,48064.15,2.21,-0.58,2.21,SHORT
2021-09-02,13,7.65,6.18,0.92,3.33,1.82,47150.32,48009.2,1.82,-1.25,1.82,LONG
2021-09-02,59,3.76,8.36,0.35,5.54,2.76,48842.93,50188.87,2.76,-0.41,2.76,SHORT
2021-09-03,59,3.12,9.23,0.74,3.66,1.83,49299.14,50202.86,1.83,-1.8,1.83,SHORT
2021-09-06,59,2.83,10.26,0.93,2.44,1.45,49942.2,50667.83,1.45,-0.87,1.45,LONG
2021-09-07,31,0.67,14.15,0.51,3.46,-1.71,52683.98,51785.49,0.38,-1.71,-1.71,SHORT
2021-09-10,-59,12.31,2.43,0.81,4.13,-2.15,46413.88,45415.61,1.34,-2.15,-2.15,SHORT
2021-09-12,11,15.91,2.15,0.74,2.81,1.56,45194.19,45897.01,1.56,-0.93,1.56,LONG
2021-09-13,-59,13.55,4.51,0.52,3.91,-1.92,46048.02,45163.75,0.53,-1.92,-1.92,SHORT
2021-09-15,29,16.47,3.05,0.7,7.84,4.02,44975.96,46782.7,4.02,-0.52,4.02,LONG
2021-09-16,59,11.02,7.59,0.18,5.74,2.77,47087.18,48389.73,2.77,-0.74,2.77,SHORT
2021-09-17,13,8.75,9.36,0.42,3.75,-1.86,48106.13,47211.23,0.72,-1.86,-1.86,LONG
2021-09-18,-15,9.36,8.75,0.75,3.01,-1.77,47745.55,46901.21,0.81,-1.77,-1.77,LONG
2021-09-18,59,10.17,8.02,0.68,2.93,1.5,47303.11,48012.64,1.5,-0.46,1.5,LONG
2021-09-19,-23,7.84,9.9,0.46,3.82,-2.0,48284.61,47320.47,0.13,-2.0,-2.0,SHORT
2021-09-20,-59,10.19,7.9,0.33,3.16,-1.89,47256.92,46364.39,0.13,-1.89,-1.89,SHORT
2021-09-21,-59,21.71,0.49,0.13,10.32,-5.87,43026.61,40501.37,-0.13,-5.87,-5.87,LONG
2021-09-23,-31,29.68,2.03,0.44,9.59,5.25,40727.83,42865.99,5.25,-0.37,5.25,LONG
2021-09-24,-31,16.61,8.54,0.32,4.41,-2.7,44828.29,43619.59,0.46,-2.7,-2.7,SHORT
2021-09-26,-59,19.75,4.86,0.89,3.08,-1.59,42646.84,41968.11,0.13,-1.59,-1.59,LONG
2021-09-29,-31,21.02,2.23,0.41,4.5,2.54,41002.96,42042.47,2.54,-0.59,2.54,SHORT
2021-09-30,17,19.38,4.39,0.73,4.56,2.34,41499.7,42472.5,2.34,-0.25,2.34,LONG
2021-10-01,59,13.01,9.56,0.15,6.54,4.54,43799.49,45790.02,4.54,-1.18,4.54,LONG
2021-10-03,31,5.2,17.15,0.46,1.93,-1.1,47626.62,47102.47,0.32,-1.1,-1.1,LONG
2021-10-05,17,4.75,18.22,0.75,4.69,-2.51,48187.99,46976.74,0.41,-2.51,-2.51,LONG
2021-10-06,59,3.32,20.19,0.62,5.52,2.8,49199.78,50577.44,2.8,-0.29,2.8,LONG
2021-10-06,59,0.16,24.43,0.22,5.85,6.43,51460.22,54771.22,6.43,-1.96,6.43,LONG
2021-10-08,59,1.17,30.52,0.23,3.55,1.97,53814.99,54876.54,1.97,-0.28,1.97,SHORT
2021-10-09,59,2.67,31.46,0.94,4.76,2.44,53974.99,55290.96,2.44,-0.42,2.44,SHORT
2021-10-10,59,2.98,33.44,0.49,3.58,1.77,54960.79,55932.07,1.77,-1.52,1.77,SHORT
2021-10-11,59,5.4,32.92,0.9,4.89,2.48,54700.0,56054.99,2.48,-0.37,2.48,LONG
