trade_date,score,bollinger_up_distance_ratio,bollinger_down_distance_ratio,yesterday_noise,yesterday_range_ratio,target_ratio,today_open_price,current_price,current_high_price_ratio,current_low_price_ratio,current_btc_rate,result
2021-12-15,-59,38.14,8.93,0.51,7.01,-3.28,1.27,1.22,0.59,-3.56,-2.19,LONG
2021-12-17,-59,37.94,9.21,0.25,7.28,-3.71,1.24,1.19,1.43,-4.25,-3.73,LONG
2021-12-18,-3,39.64,9.44,0.71,6.17,3.05,1.22,1.26,3.29,-1.4,0.98,SHORT
2021-12-19,41,34.9,12.17,0.64,5.59,2.66,1.24,1.28,3.07,-0.08,0.54,SHORT
2021-12-20,-59,32.24,12.69,0.98,5.72,-2.78,1.24,1.21,0.95,-2.93,-2.16,LONG
2021-12-21,39,30.89,12.77,0.89,4.84,2.37,1.24,1.27,2.44,-0.78,3.84,LONG
2021-12-22,57,24.33,15.51,0.32,5.04,2.38,1.28,1.31,2.45,-0.24,1.22,LONG
2021-12-23,59,12.67,14.33,0.49,7.29,3.4,1.33,1.38,4.11,-1.3,0.35,LONG
2021-12-25,59,5.23,17.04,0.27,7.41,3.77,1.39,1.45,4.06,-0.7,0.13,LONG
2021-12-26,17,1.85,20.9,0.25,5.69,-2.66,1.45,1.41,0.87,-2.78,-1.48,LONG
2021-12-27,59,2.22,21.25,0.97,4.13,2.02,1.45,1.49,2.27,-0.27,0.35,LONG
2021-12-28,-11,0.09,25.31,0.57,9.73,-4.46,1.52,1.44,-0.28,-4.72,-3.68,SHORT
