trade_date,score,bollinger_up_distance_ratio,bollinger_down_distance_ratio,yesterday_noise,yesterday_range_ratio,target_ratio,today_open_price,current_price,current_high_price_ratio,current_low_price_ratio,current_btc_rate,result
2021-09-04,59,14.88,11.21,0.99,6.17,2.99,0.29,0.3,3.22,-2.34,3.0,SHORT
2021-09-04,59,14.28,11.64,0.91,6.31,3.04,0.3,0.31,3.19,-0.91,-0.18,SHORT
2021-09-06,59,10.69,11.65,0.79,5.46,2.63,0.3,0.31,2.92,-1.09,0.83,LONG
2021-09-06,17,5.16,15.74,0.24,6.62,-3.06,0.31,0.3,1.86,-3.54,-1.06,LONG
2021-09-07,-27,7.31,14.21,0.74,6.8,-3.34,0.31,0.3,0.76,-3.9,-0.73,SHORT
2021-09-10,-17,30.8,1.77,0.65,4.4,2.19,0.25,0.26,2.28,-0.58,0.96,SHORT
2021-09-12,-17,36.24,2.38,0.88,4.32,2.11,0.24,0.25,2.24,-0.87,1.58,LONG
2021-09-13,-59,29.23,6.89,0.43,6.87,-3.2,0.25,0.24,0.71,-3.4,-2.19,SHORT
2021-09-16,17,34.49,7.44,0.42,3.5,1.69,0.24,0.24,1.75,-0.59,2.15,LONG
2021-09-16,-39,30.66,11.05,0.24,3.96,-1.89,0.25,0.24,0.0,-2.01,-1.17,SHORT
2021-09-17,41,32.88,10.25,0.62,6.06,3.01,0.24,0.25,3.44,-1.32,0.23,SHORT
2021-09-19,-59,32.17,12.49,0.87,3.95,-1.93,0.24,0.24,0.0,-1.98,-1.32,SHORT
2021-09-20,-59,36.84,10.93,0.23,4.52,-2.29,0.23,0.23,0.14,-2.6,-0.74,SHORT
2021-09-22,-31,58.65,4.47,0.62,10.12,5.0,0.2,0.21,5.62,-0.41,3.38,LONG
2021-09-24,-17,36.85,15.88,1.0,4.42,-2.16,0.22,0.22,1.53,-2.24,-1.76,SHORT
2021-09-26,-59,37.03,8.4,0.91,4.0,-1.97,0.21,0.2,0.2,-2.14,-1.42,LONG
2021-09-29,-31,34.92,3.67,0.54,3.42,1.71,0.2,0.2,1.74,-0.81,2.88,SHORT
2021-09-30,17,32.1,6.09,0.78,4.93,2.38,0.2,0.2,2.46,-0.46,4.64,LONG
2021-10-01,45,27.68,9.73,0.33,4.26,2.03,0.2,0.21,3.06,-1.22,7.62,LONG
2021-10-03,59,16.54,15.18,0.59,4.56,2.27,0.22,0.22,2.44,-1.39,0.78,SHORT
2021-10-04,-1,14.13,16.41,0.71,5.31,-2.55,0.22,0.22,1.7,-2.86,-1.58,LONG
2021-10-06,59,4.85,23.3,0.46,16.65,7.1,0.24,0.26,7.91,-3.29,1.88,SHORT
2021-10-06,59,0.96,26.66,0.71,14.73,6.6,0.25,0.27,7.09,-1.88,-0.09,SHORT
2021-10-07,3,1.09,27.87,0.92,11.79,-5.52,0.25,0.24,-0.31,-6.1,-0.93,LONG
2021-10-08,59,5.95,24.63,0.49,8.67,4.34,0.24,0.25,4.56,-0.53,3.22,SHORT
2021-10-09,59,5.64,25.09,0.91,5.69,2.75,0.24,0.25,3.03,-1.1,2.48,SHORT
2021-10-11,-35,5.37,26.21,0.78,4.99,-2.41,0.25,0.24,0.81,-3.62,0.19,SHORT
2021-10-12,-59,12.96,19.45,0.83,6.5,-3.12,0.23,0.22,0.14,-3.5,-1.8,LONG
2021-10-14,53,12.56,19.84,0.53,6.12,2.89,0.23,0.24,3.15,-0.09,0.0,SHORT
2021-10-15,-55,12.77,19.16,0.98,4.12,-2.02,0.23,0.23,-0.05,-2.19,-0.79,LONG
2021-10-16,59,12.32,18.79,0.93,8.5,4.05,0.23,0.24,4.32,0.01,-0.56,SHORT
2021-10-18,-57,11.01,18.65,0.74,5.08,-2.45,0.24,0.23,1.52,-2.56,-1.63,LONG
